"Geschäftsnummer","Bewilligungsdatum","Endverbraucherland","AG (GKV)","MTCR (GKV)","NSGI (GKV)","NSGII (GKV)","WA (GKV)","ML (GKV)","Anhang 5.1","Anhang 5.2","Anhang 5.3","ChKV","Wert"
11180,05/25/2012,"China",,,"0B001b14",,,,,,,,550000
12504,05/25/2012,"Rumänien",,,,"2B201b1",,,,,,,202817
12505,05/25/2012,"China",,,,"2B201b1",,,,,,,682000
12506,05/25/2012,"China",,,,,"3A001a2c",,,,,,81000
12507,05/25/2012,"Deutschland","1C351d11",,,,,,,,,,43
12508,05/25/2012,"Vereinigte Staaten","1C351d11",,,,,,,,,,50
12509,05/25/2012,"Frankreich","1C351d11",,,,,,,,,,43
12510,05/29/2012,"Slowakei, Slowakische Republik",,,,"2B201b1",,,,,,,625828
12511,05/29/2012,"China",,,,"2B201a","2B001b",,,,,,1998000
12512,05/29/2012,"China",,,,"2B201a1","2B001b2",,,,,,615617
12513,05/29/2012,"Brasilien",,,,,,,5.1,,,,27000
12514,05/29/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,129408
12515,05/29/2012,"Taiwan, Provinz von China",,,,,"2D002",,,,,,6838
12516,05/29/2012,"Schweden",,,,,,"4c",,,,,8450
12517,05/29/2012,"China",,,,"2B201a","2B001b",,,,,,178500
12518,05/30/2012,"Malaysia",,,,,"5A001f",,,,,,2500
12519,05/30/2012,"Bangladesch",,,,,"5A001f",,,,,,2500
12521,05/30/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,455422
12522,05/30/2012,"China",,,,,"6A005a6b2",,,,,,169371
12523,05/30/2012,"Großbritannien (Vereinigtes Königreich)",,,"0B001b14",,,,,,,,21000
12524,05/30/2012,"Vereinigte Staaten",,,,,,,,5.2,,,45
12525,05/30/2012,"China",,,,,"6A005a6b2",,,,,,305760
12526,05/30/2012,"China",,,,,"3A001a2c",,,,,,52000
12527,05/30/2012,"Tschechische Republik",,,,,"5A001i",,,,,,3000
12528,05/31/2012,"Hong Kong",,,,,"3A001a2c",,,,,,152000
12529,05/31/2012,"China",,,,,"6A002c1",,,,,,165870
12530,05/31/2012,"Hong Kong",,,,,"3A001a5a3",,,,,,409000
12531,05/31/2012,"Singapur",,,,,"6A002c1",,,,,,3427828
12532,05/31/2012,"China",,,,"2B001a1","2B001b2",,,,,,2131000
12533,05/31/2012,"China",,,,"2B001a1","2B001b2",,,,,,2137560
12534,05/31/2012,"China",,,,"2B201b2","2B001b2",,,,,,2367296
12535,05/31/2012,"Ägypten",,,,,"5A002a1a",,,,,,154500
12536,06/01/2012,"China",,,,"2B201a1",,,,,,,246650
12537,06/01/2012,"Singapur",,,,"1C231",,,,,,,4200
12539,06/01/2012,"China",,,,,"6A005a6b2",,,,,,367000
12540,06/01/2012,"Thailand",,,,"2B201a1",,,,,,,169419
12541,06/04/2012,"Hong Kong",,,,,"3A001a2c",,,,,,127000
12542,06/04/2012,"Taiwan, Provinz von China",,,,,"2D002",,,,,,4266
12543,06/04/2012,"Thailand",,"7A103a",,,,,,,,,151596
12544,06/04/2012,"Deutschland",,,,,,6,,,,,8232
12545,06/04/2012,"China",,,,,"6A005a6b2",,,,,,734000
12546,06/04/2012,"Nigeria",,,,,"5A001i",,,,,,890000
12547,06/04/2012,"Mazedonien, die ehemalige jugoslawische Republik",,,,"2B001a","2B001a",,,,,,15600
12548,06/04/2012,"Malaysia",,,,,"5A001i",,,,,,25000
12549,06/04/2012,"China",,,,"2B201b1",,,,,,,326000
12538,06/05/2012,"Dominikanische Republik",,,,,,,5.1,,,,1129
12550,06/05/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,2340
12551,06/05/2012,"China",,,,"2B201b1",,,,,,,448000
12552,06/05/2012,"Schweden",,,,,,"4c",,,,,2101
12553,06/05/2012,"Libanon",,,,,"5A001i",,,,,,141000
12554,06/05/2012,"Indien",,,,,,,5.1,,,,10945
12555,06/05/2012,"Brasilien",,,,,"6A005a6b2",,,,,,167000
12556,06/05/2012,"Oman",,,,,,,5.1,,,,254
12556,06/05/2012,"Oman",,,,,,,5.1,,,,398
12556,06/05/2012,"Oman",,,,,,,5.1,,,,450
12557,06/05/2012,"Deutschland",,,,,,14,,,,,10000
12558,06/06/2012,"China",,,,"2B001b1",,,,,,,285000
12559,06/06/2012,"Israel","2B350g2",,,,,,,,,,2294
12560,06/06/2012,"China",,,,"2B201b1",,,,,,,530000
12561,06/06/2012,"Taiwan, Provinz von China",,,,"2B001b1",,,,,,,863000
12562,06/06/2012,"Russische Föderation",,,,,"7B003a",,,,,,63674
12563,06/06/2012,"Brasilien",,,,,"6A005a6b2",,,,,,167000
12564,06/06/2012,"Brasilien",,,,,"6A005a6b2",,,,,,167000
12565,06/06/2012,"Brasilien",,,,,"6A005a6b2",,,,,,167000
12566,06/06/2012,"Brasilien",,,,,"6A005a6b2",,,,,,167000
12567,06/06/2012,"Russische Föderation",,,,"2B001a",,,,,,,490106
12568,06/06/2012,"Brasilien",,,,,"6A005a6b2",,,,,,167000
12569,06/06/2012,"Brasilien",,,,,"6A005a6b2",,,,,,167000
12570,06/07/2012,"China",,,,,"3A001a2c",,,,,,22000
12571,06/07/2012,"Frankreich",,,"0B001b14",,,,,,,,400000
12572,06/07/2012,"Taiwan, Provinz von China",,,,,"5A002a1a",,,,,,32000
12573,06/07/2012,"China",,,,"2B201b1",,,,,,,866173
12574,06/07/2012,"Israel",,,,,"2B001a",,,,,,148750
12575,06/07/2012,"Deutschland",,,,"2B001a","2B001a",,,,,,22900
12576,06/08/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,306130
12577,06/08/2012,"Slowakei, Slowakische Republik",,,,,,,5.1,,,,8146
12578,06/08/2012,"Russische Föderation",,,,,"7B003a",,,,,,30500
12580,06/08/2012,"China",,,,"2B201b",,,,,,,70000
12581,06/11/2012,"Israel",,,,,"6A002a3f",,,,,,6200
12583,06/11/2012,"China",,,,,"2B001a",,,,,,149850
12584,06/11/2012,"Katar",,,,,"5A001i",,,,,,2500
12585,06/11/2012,"Oman",,,,,,,5.1,,,,1200
12586,06/12/2012,"Vereinigte Arabische Emirate",,,,"2B201a1","2B001b1",,,,,,154981
12587,06/12/2012,"Pakistan",,,,,"5A002a1a",,,,,,22950
12588,06/12/2012,"Thailand",,,,,,11,,,,,54500
12589,06/12/2012,"Vereinigte Arabische Emirate",,,,,,11,,,,,54500
12590,06/12/2012,"Chile",,,,,,11,,,,,12500
12591,06/12/2012,"Hong Kong",,,,,"3A001a5a3",,,,,,73600
12592,06/12/2012,"Korea, Republik","1C351d11",,,,,,,,,,1304
12593,06/12/2012,"Mazedonien, die ehemalige jugoslawische Republik",,,,,"3A001g2",,,,,,80322
12594,06/12/2012,"Singapur",,,,,,4,,,,,6036
12595,06/12/2012,"Deutschland",,,,,"5A001i",,,,,,3000
12596,06/12/2012,"China",,,,"2B201a2","2B001a1",,,,,,250399
12597,06/12/2012,"China",,,,"2B201b1",,,,,,,677028
12598,06/12/2012,"Indien",,,,,"5D002c1",,,,,,69035
12599,06/12/2012,"Vereinigte Arabische Emirate",,,,"2B201a2","2B001a1",,,,,,255019
12600,06/12/2012,"Israel",,,,,"6A002c1",,,,,,11300
12601,06/13/2012,"Israel",,,,,"3A001a10c",,,,,,5187
12602,06/13/2012,"Großbritannien (Vereinigtes Königreich)",,,,,"3A001a10c",,,,,,30384
12604,06/14/2012,"Hong Kong",,,,,"3A001a5a2",,,,,,193200
12605,06/14/2012,"Vietnam",,,,,"2B001a",,,,,,808025
12606,06/14/2012,"China",,,,"2B201b1","2B001c1",,,,,,1447625
12607,06/14/2012,"China",,,,"2B201b","2B001c1",,,,,,1579491
12608,06/14/2012,"China",,,,,"6A005a6b2",,,,,,198440
12609,06/14/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,4226
12610,06/14/2012,"China",,,,"2B201a1","2B001b2",,,,,,588000
12611,06/14/2012,"Schweiz",,,,,,"1a",,,,,8298
12611,06/14/2012,"Schweiz",,,,,,"3a",,,,,1631
12612,06/15/2012,"Peru",,,,,"3A002g2",,,,,,72627
12613,06/15/2012,"China",,,,"2B201b1","2B001c1",,,,,,1798728
12615,06/18/2012,"Vereinigte Arabische Emirate","2B350g2",,,,,,,,,,107744
12616,06/18/2012,"Russische Föderation",,,,,"2B001a",,,,,,323412
12617,06/18/2012,"China",,,,,"3A001a2c",,,,,,182800
12618,06/18/2012,"China",,,,,"3A001a2c",,,,,,453600
12619,06/18/2012,"China",,,,,"3A001a2c",,,,,,263600
12620,06/18/2012,"Schweden",,,,,,"4c",,,,,18847
12621,06/18/2012,"Armenien",,,,"2B201a","2B001b",,,,,,500000
12622,06/18/2012,"Taiwan, Provinz von China",,,,,"3B001e",,,,,,3138200
12499,06/19/2012,"Vereinigte Staaten",,,"0B001b14",,,,,,,,11000
12624,06/19/2012,"Saudi-Arabien",,,,,,,5.1,,,,6825
12625,06/19/2012,"Katar",,,,,,,5.1,,,,6825
12625,06/19/2012,"Katar",,,,,,,5.1,,,,3094
12626,06/19/2012,"China",,,,,"4A001a1",,,,,,14445000
12627,06/19/2012,"China",,,,"2B201a1",,,,,,,222630
12628,06/19/2012,"Brasilien",,,,,"6A005a6b2",,,,,,197000
12629,06/19/2012,"Vereinigte Staaten",,,,,,,5.1,,,,20000
12466,06/20/2012,"Algerien",,,,,"5A002a1a",,,,,,497000
12630,06/20/2012,"China",,,,"2B201a1",,,,,,,5321250
12631,06/20/2012,"Indonesien",,,,,"3A001a2c",,,,,,32700
12632,06/20/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,792000
12633,06/20/2012,"Indonesien",,,,,"3A001a2c",,,,,,405000
12634,06/20/2012,"Aserbaidschan",,,,,,,5.1,,,,4959
12635,06/20/2012,"Thailand",,,,,"3A001a10c",,,,,,5042
12636,06/20/2012,"Algerien",,,,,,11,,,,,141000
12637,06/20/2012,"Portugal",,,,,,,5.1,,,,1749
12582,06/21/2012,"Jordanien","2B350i7",,,,,,,,,,46565
12638,06/21/2012,"Indien",,,,"2B201b1",,,,,,,251349
12639,06/21/2012,"Malaysia",,,,"2B201b1","2B001c1",,,,,,1116840
12640,06/21/2012,"China",,,,,"3A001a2c",,,,,,19800
12641,06/21/2012,"China",,,,,"3A001a5a5",,,,,,72860
12642,06/21/2012,"Frankreich",,,,"2B201a1","2B001b2",,,,,,381819
12643,06/21/2012,"Chile",,,,,"6A002c1",,,,,,9000
12643,06/21/2012,"Chile",,,,,"6A002c1",,,,,,29000
12643,06/21/2012,"Chile",,,,,"6A002c1",,,,,,23100
12643,06/21/2012,"Chile",,,,,"6A002a3f",,,,,,7500
12644,06/21/2012,"Schweden",,,,,,"4c",,,,,10515
12645,06/22/2012,"China",,,,,,,5.1,,,,9890
12646,06/22/2012,"Ägypten","2B350i7",,,,,,,,,,52431
12647,06/25/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,1833200
12648,06/25/2012,"Hong Kong",,,,,"3A001a2c",,,,,,29900
12650,06/25/2012,"Ukraine",,,,"2B226",,,,,,,72518
12651,06/25/2012,"Thailand",,,,,"5A001i",,,,,,1400
12652,06/26/2012,"Bahrain",,,,,,11,,,,,220980
12652,06/26/2012,"Bahrain",,,,,,11,,,,,404802
12653,06/26/2012,"Mexiko",,,,"2B201b1",,,,,,,296651
12654,06/26/2012,"Serbien",,,,"2B201a",,,,,,,9000
12655,06/26/2012,"Serbien",,,,"2B201a",,,,,,,7000
12656,06/26/2012,"China",,,,"2B201a1",,,,,,,207348
12658,06/26/2012,"Vereinigte Staaten",,,"0B001b14",,,,,,,,60000
12659,06/26/2012,"Hong Kong",,,,,"3A001a2c",,,,,,198000
12660,06/26/2012,"Serbien",,,,"2B201a",,,,,,,8000
12661,06/26/2012,"Serbien",,,,"2B201a",,,,,,,8000
12662,06/26/2012,"Serbien",,,,"2B201a",,,,,,,5000
12663,06/26/2012,"Südafrika","2B350d1",,,,,,,,,,536444
12664,06/26/2012,"Vereinigte Staaten","2B352b",,,,,,,,,,102708
12665,06/26/2012,"Schweiz",,,,,,,5.1,,,,400
12442,06/27/2012,"China","2B352b",,,,,,,,,,351778
12666,06/27/2012,"China",,,,"2B201a",,,,,,,490050
12667,06/27/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,1203830
12668,06/27/2012,"Hong Kong",,,,,"3A001a2c",,,,,,413000
12669,06/27/2012,"Taiwan, Provinz von China","2B350b3",,,,,,,,,,5640
12670,06/27/2012,"Russische Föderation",,,,"2B201b1","2B001c",,,,,,891621
12671,06/27/2012,"Taiwan, Provinz von China",,,,"2B201a1",,,,,,,242758
12672,06/28/2012,"China","2B352b",,,,,,,,,,89842
12673,06/28/2012,"Schweden",,,,,,"4c",,,,,16348
12674,06/28/2012,"Schweden",,,,,,"4c",,,,,33969
12675,06/28/2012,"Schweden",,,,,,"4c",,,,,43216
12676,06/28/2012,"China",,,,"2B201a1",,,,,,,1682017
12677,06/28/2012,"Belarus",,,,"2B001a","2B001a",,,,,,355707
12678,06/29/2012,"Israel",,,,,,"10c",,,,,3845
12680,06/29/2012,"Kolumbien",,"7A103a",,,,,,,,,151596
12683,06/29/2012,"Hong Kong",,,,,"3A001a2c",,,,,,64100
12684,06/29/2012,"Hong Kong",,,,,"3A001a2c",,,,,,408500
12685,06/29/2012,"Brasilien",,,,,"6A005a6b2",,,,,,198440
12686,06/29/2012,"Bulgarien",,,,"2B201b1",,,,,,,162000
12687,06/29/2012,"Slowakei, Slowakische Republik",,,,,"2B001a",,,,,,1500205
12688,06/29/2012,"Rumänien",,,,"3A228c",,,,,,,1440
12689,07/02/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,204761
12690,07/02/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,628973
12691,07/02/2012,"China",,,,,"3A001a2c",,,,,,41000
12693,07/02/2012,"Singapur",,,,"1C231",,,,,,,4200
12694,07/02/2012,"China",,,,"2B201b2","2B001c2",,,,,,2181115
12695,07/02/2012,"China",,,,"2B201b2","2B001c2",,,,,,3610000
12696,07/02/2012,"Hong Kong",,,,,"6A002c1",,,,,,7611
12696,07/02/2012,"Hong Kong",,,,,"6A002c1",,,,,,19720
12696,07/02/2012,"Hong Kong",,,,,"6A002c1",,,,,,10530
12697,07/02/2012,"Indien",,,,,,"1a",,,,,3324
12697,07/02/2012,"Indien",,,,,,"1a",,,,,5571
12698,07/02/2012,"Deutschland","1C351d11",,,,,,,,,,153
12698,07/02/2012,"Deutschland","1C351d11",,,,,,,,,,153
12698,07/02/2012,"Deutschland","1C351d11",,,,,,,,,,153
12699,07/02/2012,"Deutschland","1C351d11",,,,,,,,,,153
12700,07/02/2012,"China",,,,"2B201a1","2B001b2",,,,,,602000
12701,07/02/2012,"China",,,,"2B001a","2B001a",,,,,,429215
12692,07/03/2012,"Großbritannien (Vereinigtes Königreich)",,,"0B001b14",,,,,,,,30000
12702,07/03/2012,"Indien",,,,"2B201a1","2B001b2",,,,,,1124569
12703,07/03/2012,"Indonesien",,,,,"6A002c1",,,,,,214368
12704,07/03/2012,"Deutschland","1C351d11",,,,,,,,,,43
12705,07/03/2012,"China",,,,,"3A001a5a1",,,,,,57000
12706,07/03/2012,"Indien",,,,,"4D001a",,,,,,50000
12707,07/03/2012,"Kuwait",,,,,,"10a",,,,,10000000
12708,07/03/2012,"Taiwan, Provinz von China",,,,,"5A002a1a",,,,,,12000
12709,07/04/2012,"China",,,,"2B201a1","2B001b2",,,,,,379436
12710,07/04/2012,"China",,,,"2B201a1","2B001b2",,,,,,399911
12712,07/04/2012,"Thailand",,,,"2B201b",,,,,,,295000
12714,07/04/2012,"China",,,,,"3A002g2",,,,,,90000
12715,07/04/2012,"Russische Föderation","2B350d3",,,,,,,,,,2200
12715,07/04/2012,"Russische Föderation","2B350g3",,,,,,,,,,21550
12716,07/04/2012,"Russische Föderation","2B350a,b,d,g3",,,,,,,,,,151100
12717,07/04/2012,"Saudi-Arabien","2B350a,b,d,g3",,,,,,,,,,153750
12718,07/04/2012,"China",,,,"2B201b1",,,,,,,730000
12711,07/05/2012,"Oman",,,,,"5A002a1a",,,,,,45490
12719,07/05/2012,"Kuba","2B350d3",,,,,,,,,,4054
12721,07/05/2012,"Hong Kong",,,,,"3A001a5a3",,,,,,280000
12722,07/05/2012,"Russische Föderation",,,,,,,,,,"2B10",2370
12723,07/05/2012,"Marokko",,"7A103a",,,,,,,,,151596
12724,07/05/2012,"Deutschland","1C351d11",,,,,,,,,,43
12725,07/05/2012,"Indien",,,,,"6A002c1",,,,,,8400
12725,07/05/2012,"Indien",,,,,"6A002c1",,,,,,8000
12725,07/05/2012,"Indien",,,,,"6A002c1",,,,,,23200
12725,07/05/2012,"Indien",,,,,"6A002c1",,,,,,23000
12725,07/05/2012,"Indien",,,,,"6A002c1",,,,,,8000
12726,07/05/2012,"Korea, Republik","1C351d11",,,,,,,,,,239
12727,07/05/2012,"Pakistan",,,,,"5A001i",,,,,,1400
12728,07/05/2012,"China",,,,"2B201b1",,,,,,,900000
12729,07/05/2012,"Thailand",,,,,"3A001a10c",,,,,,9040
12730,07/05/2012,"Taiwan, Provinz von China",,,,"2B201a",,,,,,,80000
12713,07/06/2012,"Indien",,,,,,,5.1,,,,1250
12713,07/06/2012,"Indien",,,,,,"1a",,,,,1420
12731,07/06/2012,"Indonesien","2B350i1",,,,,,,,,,49818
12732,07/06/2012,"Brasilien",,,,"2B201a1",,,,,,,257352
12733,07/06/2012,"Brasilien",,,,"2B201a1",,,,,,,317619
12734,07/06/2012,"Brasilien",,,,"2B201a1","2B001b2",,,,,,235970
12735,07/06/2012,"China",,,,"2B201b1",,,,,,,511556
12736,07/06/2012,"Frankreich",,,"0B001b14",,,,,,,,8500
12737,07/06/2012,"Rumänien",,,,,,"3a",,,,,766
12737,07/06/2012,"Rumänien",,,,,,"3a",,,,,850
12737,07/06/2012,"Rumänien",,,,,,"3a",,,,,1017
12737,07/06/2012,"Rumänien",,,,,,"3a",,,,,715
12738,07/06/2012,"Thailand",,,,,"3A001a10c",,,,,,24434
12739,07/06/2012,"Thailand",,,,,"3A001a10c",,,,,,70428
12740,07/06/2012,"Thailand",,,,,"3A001a10c",,,,,,24434
12741,07/06/2012,"China",,,,,"6A002c1",,,,,,5421
12742,07/09/2012,"Rumänien",,,,"2B201b1",,,,,,,572000
12743,07/09/2012,"Russische Föderation",,,,"2B201a",,,,,,,139711
12744,07/09/2012,"China",,,,"2B201b1",,,,,,,850000
12679,07/10/2012,"Indien",,,,"2B201a","2B001b2",,,,,,1245000
12681,07/10/2012,"Indien",,,,"2B201a","2B001b2",,,,,,1245000
12682,07/10/2012,"Indien",,,,"2B201a1","2B001b2",,,,,,1260000
12746,07/10/2012,"Deutschland",,,,,,"6a",,,,,24000
12747,07/10/2012,"Hong Kong",,,,,"3A001a5a3",,,,,,262000
12748,07/10/2012,"Israel",,,,,,"1d",,,,,12000
12749,07/10/2012,"Serbien",,,,"2B001a","2B001a",,,,,,8000
12750,07/10/2012,"Serbien",,,,"2B201a1",,,,,,,12000
12751,07/10/2012,"Kolumbien",,,,,"6A005a6b2",,,,,,198440
12752,07/10/2012,"Mexiko",,,,,"5A001i",,,,,,1000
12753,07/10/2012,"Russische Föderation",,,,"2B001a","2B001a",,,,,,141317
12754,07/10/2012,"Chile",,,,,"6A005a6b2",,,,,,167000
12755,07/10/2012,"Brasilien",,,,,,11,,,,,4500
12756,07/10/2012,"Israel",,,,,,"4c",,,,,80670
12649,07/11/2012,"Thailand",,,,,,"22a",,,,,15000000
12757,07/11/2012,"China",,,,,"6A002c1",,,,,,1046698
12757,07/11/2012,"China",,,,,"6A002.c1",,,,,,404375
12758,07/11/2012,"China",,,,,"6A002c1",,,,,,5613
12759,07/11/2012,"Hong Kong",,,,,"3A001a2c",,,,,,1586000
12760,07/11/2012,"Indien",,,,,,"1a",,,,,4087
12761,07/11/2012,"Estland",,,,,,"5b",,,,,40000
12761,07/11/2012,"Estland",,,,,,"15d",,,,,50000
12761,07/11/2012,"Estland",,,,,"6A002c1",,,,,,20000
12762,07/12/2012,"China",,,,"2B201a1","2B001b2",,,,,,178500
12763,07/12/2012,"Indien",,,,,,"1a",,,,,9783
12764,07/12/2012,"Niederlande",,,"0B001b14",,,,,,,,65000
12765,07/12/2012,"Thailand",,,,"2B201a1",,,,,,,223528
12766,07/12/2012,"Thailand",,,,"2B001a","2B001a",,,,,,122000
12767,07/12/2012,"Rumänien",,,,,,"3a",,,,,425
12768,07/12/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,801847
12769,07/12/2012,"Deutschland",,,"0B002g",,,,,,,,13950
12770,07/12/2012,"Brasilien",,,,,"5A001i",,,,,,3000
12771,07/13/2012,"Saudi-Arabien",,,,,"6A002c1",,,,,,2175737
12772,07/13/2012,"Indien",,,,"3A225",,,,,,,6905
12773,07/13/2012,"Frankreich",,,,"2B201a1","2B001b2",,,,,,332224
12774,07/13/2012,"China",,,,"2B201b1",,,,,,,634261
12775,07/16/2012,"Frankreich",,,,"2B201a1","2B001b2",,,,,,332224
12776,07/16/2012,"Peru",,,,,,,5.1,,,,2508
12777,07/16/2012,"China",,,,"2B201a1",,,,,,,829081
12779,07/17/2012,"Großbritannien (Vereinigtes Königreich)","2B350a3",,,,,,,,,,14500
12780,07/17/2012,"Thailand",,,,"2B201a1",,,,,,,246641
12781,07/17/2012,"Slowenien",,,,"2B201a1","2B001b1",,,,,,135600
12784,07/17/2012,"Deutschland","1C351d11",,,,,,,,,,43
12785,07/17/2012,"Slowakei, Slowakische Republik",,,,,"6A002c1",,,,,,22670
12785,07/17/2012,"Slowakei, Slowakische Republik",,,,,"6A002c1",,,,,,91040
12785,07/17/2012,"Slowakei, Slowakische Republik",,,,,"6A002c1",,,,,,27700
12787,07/17/2012,"Singapur",,,,,"6A002c1",,,,,,18560
12480,07/18/2012,"China",,,,,,,,,,"3B16",1
12786,07/18/2012,"Chile",,,,,,"1a",,,,,2650
12788,07/18/2012,"Serbien",,,,,,,,5.2,,,92000
12789,07/18/2012,"Singapur",,,,,"3A001a2c",,,,,,250000
12790,07/18/2012,"Singapur",,,,,"3A001a5a1",,,,,,133000
12791,07/18/2012,"Indien","2B352b",,,,,,,,,,1
12791,07/18/2012,"Indien","2B352.b",,,,,,,,,,646526
12792,07/18/2012,"Brasilien",,,,"2B201b1",,,,,,,597837
12793,07/18/2012,"Kolumbien",,,,,"6A002c1",,,,,,7600
12793,07/18/2012,"Kolumbien",,,,,"6A002a3f",,,,,,8100
12745,07/19/2012,"Saudi-Arabien",,,,,,,5.1,,,,6825
12794,07/19/2012,"Israel",,,,,"3A001a10c",,,,,,14148
12795,07/19/2012,"Slowakei, Slowakische Republik",,,,,,"1a",,,,,16588
12796,07/19/2012,"Saudi-Arabien",,,,,,"1a",,,,,19214
12797,07/19/2012,"Südafrika",,,,,"6A002c1",,,,,,11300
12797,07/19/2012,"Südafrika",,,,,"6A002c1",,,,,,23200
12799,07/19/2012,"Deutschland","1C351d11",,,,,,,,,,153
12800,07/19/2012,"Brasilien",,,,"2B201b1",,,,,,,360000
12801,07/20/2012,"Deutschland","1C351d11",,,,,,,,,,153
12802,07/20/2012,"China",,,,"2B201a1",,,,,,,1682017
12803,07/20/2012,"China",,,,"2B201b",,,,,,,335149
12804,07/20/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,409165
12805,07/20/2012,"Ägypten",,,,,"5A002a1a",,,,,,2400
12805,07/20/2012,"Ägypten",,,,,"5A002a1a",,,,,,2100
12806,07/20/2012,"China",,,,"2B201b1",,,,,,,452000
12807,07/20/2012,"China",,,,"2B201b1",,,,,,,656000
12808,07/23/2012,"Lettland",,,,,,,5.1,,,,1237
12809,07/23/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,23815
12810,07/24/2012,"Vereinigte Staaten","2B352d2",,,,,,,,,,6400
12811,07/24/2012,"China",,,,,"6A005a6b2",,,,,,198440
12813,07/24/2012,"Indonesien",,,,,"5A001f",,,,,,70000
12814,07/24/2012,"Japan","1C351d11",,,,,,,,,,268
12815,07/25/2012,"Israel","2B350g2",,,,,,,,,,6684
12816,07/25/2012,"Indien",,,,,,"1a",,,,,10000
12817,07/25/2012,"Vereinigte Staaten",,,,,,"5d",,,,,28440
12818,07/25/2012,"Indien",,,,"2B201a1","2B001b2",,,,,,1280000
12819,07/25/2012,"Zypern",,,,,,"10g",,,,,17199
12820,07/26/2012,"Rumänien",,,,,"6A002c1",,,,,,8111
12820,07/26/2012,"Rumänien",,,,,"6A002c1",,,,,,8457
12820,07/26/2012,"Rumänien",,,,,"6A002c1",,,,,,23200
12822,07/27/2012,"Österreich",,,,,,,5.1,,,,1180
12824,07/27/2012,"Bosnien und Herzegowina",,,,,"5A002a1a",,,,,,6494
12825,07/27/2012,"Singapur",,,,,,"22a",,,,,1
12825,07/27/2012,"Singapur",,,,,,13,,,,,5000000
12826,07/27/2012,"Indien",,,,"2B201a1","2B001b2",,,,,,317245
12827,07/27/2012,"Russische Föderation",,,,"2B231",,,,,,,123785
12828,07/30/2012,"Deutschland","1C351d11",,,,,,,,,,43
12829,07/30/2012,"Algerien",,,,,,,,5.2,,,625000
12830,07/30/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,10437
12831,07/30/2012,"Malaysia",,,,,"6A005a6b2",,,,,,198440
12832,07/30/2012,"Russische Föderation",,,,"2B231",,,,,,,188698
12821,07/31/2012,"Madagaskar",,,,,,,5.1,,,,638
12833,07/31/2012,"Taiwan, Provinz von China","2B352b",,,,,,,,,,91100
12834,07/31/2012,"Macao",,,,,,,5.1,,,,850
12835,07/31/2012,"Indonesien",,,,,"5A001f",,,,,,1200
12657,08/02/2012,"Bahrain",,,,,"5A002a1a",,,,,,19500000
12836,08/02/2012,"Singapur",,,,"1C231",,,,,,,4300
12837,08/02/2012,"China",,,,,"6A005a6b2",,,,,,198440
12839,08/02/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,4380
12184,08/03/2012,"Brasilien",,,"0A001g",,,"17g",,,,,12000000
12840,08/03/2012,"Niederlande",,,"0B001b14",,,,,,,,165000
12841,08/03/2012,"Israel",,,,,,"1d",,,,,8000
12842,08/03/2012,"Spanien",,,,,,"10c2",,,,,13700
12843,08/07/2012,"Singapur",,,,,"3A001a5a1",,,,,,276000
12844,08/07/2012,"China",,,,"2B201a1",,,,,,,7449750
12845,08/07/2012,"Singapur","1C35009",,,,,,,,,"3B14",12000
12846,08/07/2012,"Italien",,,,"2B201a1","2B001b2",,,,,,284701
12847,08/07/2012,"Taiwan, Provinz von China",,,,,"2D002",,,,,,49560
12848,08/07/2012,"Taiwan, Provinz von China",,,,,"2D002",,,,,,47676
12849,08/07/2012,"Taiwan, Provinz von China",,,,,"2D002",,,,,,64344
12850,08/08/2012,"Indien",,,,,,,5.1,,,,2380
12851,08/08/2012,"Indien",,,,,,,5.1,,,,2380
12852,08/08/2012,"Indien",,,,,,,5.1,,,,2380
12854,08/08/2012,"China",,,,"2B201b1","2B001c",,,,,,680000
12855,08/08/2012,"Indien",,,,,,,5.1,,,,1900
12856,08/08/2012,"Indien",,,,,,,5.1,,,,615
12856,08/08/2012,"Indien",,,,,,,5.1,,,,615
12857,08/08/2012,"Israel",,,,,"6A005a6b2",,,,,,701800
12858,08/08/2012,"Vereinigte Staaten",,,,"1C235",,,,,,,77000
12859,08/09/2012,"Singapur",,,,"2B201a1",,,,,,,250363
12860,08/09/2012,"Indonesien",,,,,"5A001f",,,,,,485
12861,08/09/2012,"Indonesien",,,,,"5D001a",,,,,,145315
12862,08/09/2012,"China",,,,,"2B001a",,,,,,365000
12863,08/10/2012,"Marokko",,,,,"3A001g2",,,,,,43335
