"Geschäftsnummer","Ausstellungsdatum","Bestimmungs-/Lieferland","Position / Güterart","Position / EKN","Position / Wert [CHF]"
8000510,17.10.2014,"China, Volksrepublik","Dual Use Güter","2B350.i4",8030
8000510,17.10.2014,"China, Volksrepublik","Dual Use Güter","2B350.g2",44190
8000510,17.10.2014,"China, Volksrepublik","Dual Use Güter","2B350.d3",32625
8000510,17.10.2014,"China, Volksrepublik","Dual Use Güter","2B350.g3",189050
8000510,17.10.2014,"China, Volksrepublik","Dual Use Güter","2B350.e3",11400
8000510,17.10.2014,"China, Volksrepublik","Dual Use Güter","2B350.a3",90070
8000510,17.10.2014,"China, Volksrepublik","Dual Use Güter","2B350.b3",7460
8000511,17.10.2014,"Russische Föderation","Dual Use Güter","3A001.a7a",3900
8000463,17.10.2014,"China, Volksrepublik","Dual Use Güter","3A228.c",66800
8000419,17.10.2014,"Serbien","Dual Use Güter
Dual Use Güter","2B001.b
2B201.a",15860
8000508,17.10.2014,"Ägypten","Dual Use Güter
Dual Use Güter","2B001.b1
2B201.a1",7588
8000516,17.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.g2",7685
8000454,17.10.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",256342
8000514,20.10.2014,"Russische Föderation","Dual Use Güter","3A001.a7a",1775
8000514,20.10.2014,"Russische Föderation","Dual Use Güter","3A001.a7a",3946
8000528,21.10.2014,"China, Volksrepublik","Dual Use Güter","2B001.a",166280
8000518,21.10.2014,"China, Volksrepublik","National kontrollierte Güter","5.2",100000
8000531,21.10.2014,"Iran","Sanktionsgüter","Iran-Sanktionen III.A1.003, Anhang 2",584.92
8000531,21.10.2014,"Iran","Sanktionsgüter","Iran-Sanktionen III.A1.003, Anhang 2",103.63
8000520,21.10.2014,"Indien","National kontrollierte Güter","5.1",6783
8000520,21.10.2014,"Indien","National kontrollierte Güter","5.1",3298.4
8000537,21.10.2014,"Indien","National kontrollierte Güter","5.1",1303
8000532,21.10.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B001.c
2B201.b",1760820
8000487,21.10.2014,"Russische Föderation","Dual Use Güter","2B350.g2",496.8
8000540,21.10.2014,"Indien","National kontrollierte Güter","5.1",1790
8000540,21.10.2014,"Indien","National kontrollierte Güter","5.1",1392
8000540,21.10.2014,"Indien","National kontrollierte Güter","5.1",1328
8000540,21.10.2014,"Indien","National kontrollierte Güter","5.1",100
8000544,21.10.2014,"Singapur","Dual Use Güter","6A005.a6.b2",80976
8000556,22.10.2014,"Dominikanische Republik","Dual Use Güter","5A002.a1a",5760
8000555,22.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.a5a5",31070
8000558,22.10.2014,"Trinidad und Tobago","National kontrollierte Güter","5.1",1220
8000558,22.10.2014,"Trinidad und Tobago","National kontrollierte Güter","5.1",843
8000558,22.10.2014,"Trinidad und Tobago","National kontrollierte Güter","5.1",1382
8000553,22.10.2014,"Deutschland","Nukleargüter","0B002.g",21998
8000561,22.10.2014,"Chile","Dual Use Güter","2B352",74114.3
8000546,22.10.2014,"Indien","National kontrollierte Güter","5.1",7700
8000534,22.10.2014,"China, Volksrepublik","Dual Use Güter","7D101",388800
8000547,22.10.2014,"Thailand","National kontrollierte Güter","5.1",18300
8000565,22.10.2014,"Vereinigte Staaten von Amerika","National kontrollierte Güter","5.1",5
8000565,22.10.2014,"Vereinigte Staaten von Amerika","National kontrollierte Güter","5.1",90
8000566,23.10.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",427400
8000564,24.10.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",395500
8000586,24.10.2014,"Singapur","Dual Use Güter","1C231",4200
8000567,24.10.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",550000
8000568,24.10.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",650000
8000569,24.10.2014,"China, Volksrepublik","Dual Use Güter","2B001.b2",247200
8000575,24.10.2014,"Deutschland","Nukleargüter","0B002",15246
8000570,24.10.2014,"Dänemark","Dual Use Güter
Dual Use Güter","2B001.c2
2B201.b2",900000
8000571,24.10.2014,"Russische Föderation","Dual Use Güter","6A005.a6.b2",184171
8000593,24.10.2014,"Indien","Dual Use Güter","1C231",1570
8000597,24.10.2014,"Indien","National kontrollierte Güter","5.1",1515
8000576,24.10.2014,"Russische Föderation","Dual Use Güter","2B350.g2",6000
8000576,24.10.2014,"Russische Föderation","Dual Use Güter","2B350.g2",3900
8000599,24.10.2014,"Singapur","National kontrollierte Güter","5.1",1300
8000601,24.10.2014,"Indien","National kontrollierte Güter","5.1",1303
8000601,24.10.2014,"Indien","National kontrollierte Güter","5.1",1365
8000601,24.10.2014,"Indien","National kontrollierte Güter","5.1",1515
8000592,27.10.2014,"China, Volksrepublik","Dual Use Güter","2B001.a",152342
8000589,27.10.2014,"Niederlande","Dual Use Güter","2B350.g2",1238
8000595,27.10.2014,"Deutschland","Dual Use Güter","2B350.g2",20677
8000606,27.10.2014,"China, Volksrepublik","Dual Use Güter","3A001.a2c",9290
8000614,27.10.2014,"Vereinigte Staaten von Amerika","Dual Use Güter","7A103.a1",31200
8000577,27.10.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","7B003
2B120",782800
8000609,28.10.2014,"Vereinigte Staaten von Amerika","Besondere militärische Güter","ML18.a",12097224
8000596,28.10.2014,"Vietnam","Besondere militärische Güter","ML11.a",596580
8000619,28.10.2014,"China, Taiwan","Dual Use Güter","2B001.a",1018200
8000631,29.10.2014,"Südafrika","Dual Use Güter
Dual Use Güter","2B001.b
2B201.a",1184100
8000611,29.10.2014,"China, Volksrepublik","Dual Use Güter","7A103.a",57524
8000613,29.10.2014,"Kolumbien","Dual Use Güter","7A103.a",106895
8000643,29.10.2014,"Singapur","Dual Use Güter","1C231",4200
8000633,29.10.2014,"Indien","Dual Use Güter","2B001.a",2711752.88
8000623,29.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",428560
8000640,29.10.2014,"Malaysia","Dual Use Güter","2B001.a",1068000
8000610,30.10.2014,"Estland","Dual Use Güter","7A003.c1",261230
8000610,30.10.2014,"Estland","Dual Use Güter","6A002.c1",804090
8000610,30.10.2014,"Estland","Besondere militärische Güter","ML05.b",345675
8000628,30.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",233011
8000628,30.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",182935
8000628,30.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",155559
8000628,30.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",155559
8000628,30.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",206426
8000628,30.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",155559
8000628,30.10.2014,"Russische Föderation","Dual Use Güter","2B001.a",206426
8000629,30.10.2014,"Russische Föderation","Dual Use Güter","2B201.a",259146
8000656,30.10.2014,"Oman","Dual Use Güter","3A002.g2",57344
8000662,30.10.2014,"Kongo, Demokratische Republik (ex-Zaire)","Dual Use Güter","2B350.g2",5160
8000667,30.10.2014,"Belgien","National kontrollierte Güter","5.1",295.35
8000668,31.10.2014,"Österreich","National kontrollierte Güter","5.1",274.72
8000684,31.10.2014,"Tunesien","National kontrollierte Güter","5.1",51
8000684,31.10.2014,"Tunesien","National kontrollierte Güter","5.1",69
8000684,31.10.2014,"Tunesien","National kontrollierte Güter","5.1",350
8000622,31.10.2014,"Vereinigte Staaten von Amerika","National kontrollierte Güter","5.1",17340
8000622,31.10.2014,"Vereinigte Staaten von Amerika","National kontrollierte Güter","5.1",1980
8000681,31.10.2014,"Belarus","Dual Use Güter","2B352.b",100145.05
8000679,31.10.2014,"Singapur","Dual Use Güter","2B201.b1",336522
8000680,31.10.2014,"Singapur","Dual Use Güter","2B201.b1",492320
8000657,31.10.2014,"China, Volksrepublik","Dual Use Güter","6A005.a6a",151200
8000686,31.10.2014,"Israel","Dual Use Güter","1C231",3300
8000655,31.10.2014,"Vietnam","Besondere militärische Güter","ML11.a",993120.85
8000690,03.11.2014,"Israel","Dual Use Güter","7A002",6021
8000687,03.11.2014,"China, Volksrepublik","Dual Use Güter","6A005.A6B2",196800
8000703,03.11.2014,"Tunesien","National kontrollierte Güter","5.1",2465
8000703,03.11.2014,"Tunesien","National kontrollierte Güter","5.1",78
8000600,04.11.2014,"Chile","National kontrollierte Güter","5.1",5121.65
8000600,04.11.2014,"Chile","National kontrollierte Güter","5.1",5121.65
8000600,04.11.2014,"Chile","National kontrollierte Güter","5.1",5121.65
8000600,04.11.2014,"Chile","National kontrollierte Güter","5.1",5121.65
8000714,04.11.2014,"Saudi-Arabien","National kontrollierte Güter","5.2",500
8000709,04.11.2014,"Hongkong","Dual Use Güter","3A001.a2a",47150
8000715,04.11.2014,"Singapur","Chemikalien CWÜ","3B.16",103.5
8000698,04.11.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",277016
8000719,04.11.2014,"Indien","Dual Use Güter","5A002.a1a",152193
8000699,05.11.2014,"China, Volksrepublik","Dual Use Güter","2B201.b1",403297
8000720,05.11.2014,"China, Volksrepublik","Dual Use Güter","3A002.g2",47600
8000717,05.11.2014,"Slowakische Republik","Dual Use Güter","6A005.a6b2",197850
8000716,05.11.2014,"China, Volksrepublik","Dual Use Güter","2B005.e",4560000
8000718,05.11.2014,"Lettland","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",338626
8000721,05.11.2014,"China, Taiwan","Dual Use Güter","2B001.a",1295000
8000724,05.11.2014,"Israel","Dual Use Güter","3A001.a10c",8083
8000732,05.11.2014,"Chile","National kontrollierte Güter","5.1",7306
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000727,05.11.2014,"Iran","National kontrollierte Güter","5.1",5775
8000722,06.11.2014,"Jordanien","Besondere militärische Güter","ML17.h",200
8000588,06.11.2014,"Singapur","Dual Use Güter","5A001.h",64798
8000729,06.11.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B201.a1
2B001.b2",1494164
8000730,06.11.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B201
2B001",3179930
8000711,06.11.2014,"Russische Föderation","Dual Use Güter","2B001.a",224000
8000711,06.11.2014,"Russische Föderation","Dual Use Güter","2B001.a",240000
8000691,06.11.2014,"Russische Föderation","Dual Use Güter","2B201.a",147134
8000737,06.11.2014,"Indien","Dual Use Güter","2B350.g3",45700
8000737,06.11.2014,"Indien","Dual Use Güter","2B350.d3",29000
8000736,06.11.2014,"Deutschland","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",246506
8000738,06.11.2014,"Brasilien","Dual Use Güter","6A002.c1",517.8
8000738,06.11.2014,"Brasilien","Dual Use Güter","6A002.c1",381
8000740,06.11.2014,"Hongkong","Dual Use Güter","3A001.a2c",7090
8000683,07.11.2014,"Russische Föderation","Dual Use Güter","6A005.a6b2",410000
8000749,07.11.2014,"Indien","Besondere militärische Güter
Besondere militärische Güter","ML13
ML22",5000000
8000753,07.11.2014,"Saudi-Arabien","Dual Use Güter","2B350.g",6190
8000753,07.11.2014,"Saudi-Arabien","Dual Use Güter","2B350.c",29280
8000739,10.11.2014,"Iran","Sanktionsgüter","Anh.2 / III.B.001",6620500
8000773,10.11.2014,"Hongkong","Dual Use Güter","3A001.a5a2",443500
8000774,10.11.2014,"Hongkong","Dual Use Güter","3A001.a2c",169950
8000779,10.11.2014,"Niederlande","Dual Use Güter","2B350.g2",2582
8000777,10.11.2014,"Vereinigte Staaten von Amerika","National kontrollierte Güter","5.1",162000
8000775,10.11.2014,"China, Volksrepublik","Dual Use Güter","3A002.g2",48408
8000788,11.11.2014,"Indien","Dual Use Güter","1C231",1570
8000789,12.11.2014,"Brasilien","Besondere militärische Güter","ML10.a",258654
8000782,12.11.2014,"Saudi-Arabien","National kontrollierte Güter","5.1",89600
8000795,12.11.2014,"Vietnam","Dual Use Güter","6A005.a6b2",580000
8000796,12.11.2014,"China, Taiwan","Dual Use Güter","6A005.a6a",78650
8000801,12.11.2014,"China, Taiwan","Dual Use Güter","5A002.a1a",12000
8000792,12.11.2014,"China, Taiwan","Dual Use Güter","5A002.a1a",8000
8000696,13.11.2014,"Myanmar (Union)","National kontrollierte Güter","5.1",6480
8000696,13.11.2014,"Myanmar (Union)","National kontrollierte Güter","5.1",8100
8000696,13.11.2014,"Myanmar (Union)","National kontrollierte Güter","5.1",24960
8000696,13.11.2014,"Myanmar (Union)","National kontrollierte Güter","5.1",5150
8000761,13.11.2014,"Russische Föderation","Dual Use Güter","2B350.g3",3000
8000761,13.11.2014,"Russische Föderation","Dual Use Güter","2B350.i4",3750
8000578,13.11.2014,"Russische Föderation","Dual Use Güter","3A001.a7a",4600
8000793,13.11.2014,"Ukraine","Dual Use Güter","2B352.b",298871
8000794,13.11.2014,"Russische Föderation","Dual Use Güter","2B350.g",12240
8000665,13.11.2014,"Russische Föderation","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",399997
8000702,13.11.2014,"Russische Föderation","Dual Use Güter","2B350.d3",21520.98
8000785,13.11.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","7B003
2B120",660000
8000778,13.11.2014,"Deutschland","Besondere militärische Güter","ML05.A",1336.08
8000787,13.11.2014,"Russische Föderation","Dual Use Güter","2B201.a",98000
8000695,13.11.2014,"Russische Föderation","Dual Use Güter","2B120.a",2397200
8000758,13.11.2014,"Russische Föderation","Dual Use Güter","2B350.g3",5000
8000760,13.11.2014,"Russische Föderation","Dual Use Güter","2B350.g3",2800
8000840,13.11.2014,"Singapur","Dual Use Güter","2B001.d",255995
8000845,14.11.2014,"Saudi-Arabien","Dual Use Güter
Dual Use Güter","2B001.b
2B201.a",40000
8000797,14.11.2014,"Neuseeland","National kontrollierte Güter","5.1",200
8000797,14.11.2014,"Neuseeland","National kontrollierte Güter","5.1",100
8000797,14.11.2014,"Neuseeland","National kontrollierte Güter","5.1",800
8000797,14.11.2014,"Neuseeland","National kontrollierte Güter","5.1",1200
8000797,14.11.2014,"Neuseeland","National kontrollierte Güter","5.1",100
8000797,14.11.2014,"Neuseeland","National kontrollierte Güter","5.1",100
8000748,14.11.2014,"China, Taiwan","Dual Use Güter","2B350.g",15527.4
8000846,14.11.2014,"Saudi-Arabien","Dual Use Güter","5D002.c1",46500
8000841,14.11.2014,"China, Volksrepublik","Dual Use Güter","2B001.b3",989336
8000848,14.11.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",275202
8000849,14.11.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",374443
8000850,14.11.2014,"China, Volksrepublik","Dual Use Güter","2B001.b2",226318
8000750,17.11.2014,"China, Taiwan","Dual Use Güter","2B350.d3",13596
8000798,17.11.2014,"Pakistan","Besondere militärische Güter","ML22",12000
8000861,17.11.2014,"Saudi-Arabien","Dual Use Güter","5D002.c1",46500
8000862,17.11.2014,"Thailand","Dual Use Güter","5A001.i",105275
8000865,17.11.2014,"Qatar","Dual Use Güter","5A001.i",6082794
8000867,17.11.2014,"Singapur","Dual Use Güter","2B201.b1",434760
8000574,17.11.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",131363
8000874,17.11.2014,"China, Volksrepublik","Dual Use Güter","3A001.g2",1513
8000838,17.11.2014,"Indien","National kontrollierte Güter","5.1",2730
8000875,18.11.2014,"Türkei","Dual Use Güter
Dual Use Güter","2B001.b
2B201.a",181170
8000877,18.11.2014,"Türkei","Dual Use Güter
Dual Use Güter","2B001.b
2B201.a",157000
8000879,18.11.2014,"Oman","National kontrollierte Güter","5.1",29152
