"","GN","UnterGN","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"914",11773,1,2012-01-11,"Russland",599180,"GKV","2B201a|2B001b","2","B","201a","Tracker"
"915",11774,1,2012-01-12,"Russland",3080716,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"916",11775,1,2012-01-12,"Russland",2160000,"GKV","2B201a|2B001b","2","B","201a","Tracker"
"917",11776,1,2012-01-12,"Russland",451493,"GKV","2B201a|2B001b1","2","B","201a","Tracker"
"918",11777,1,2012-01-12,"Russland",451493,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"919",11778,1,2012-01-12,"China",8200,"GKV","3A001a2c","3","A","001a2c","Tracker"
"920",11779,1,2012-01-12,"Thailand",54500,"ML (GKV)","11","11","","","Tracker"
"921",11780,1,2012-01-12,"Hong Kong",414000,"GKV","3A001a2c","3","A","001a2c","Tracker"
"922",11781,1,2012-01-12,"Hong Kong",165600,"GKV","3A001a2c","3","A","001a2c","Tracker"
"923",11782,1,2012-01-12,"USA",46000,"5.1","5.1","1","","","Tracker"
"924",11783,1,2012-01-13,"China",151596,"GKV","7A103a","7","A","103a","Tracker"
"925",11784,1,2012-01-13,"Indien",50244,"GKV","3A002g2","3","A","002g2","Tracker"
"926",11785,1,2012-01-13,"Ungarn",4000,"ML (GKV)","16","16","","","Tracker"
"927",11786,1,2012-01-13,"Marokko",151596,"GKV","7A103a","7","A","103a","Tracker"
"928",11787,1,2012-01-13,"Marokko",151596,"GKV","7A103a","7","A","103a","Tracker"
"929",11788,1,2012-01-16,"Israel",8682,"GKV","3A001a10c","3","A","001a10c","Tracker"
"930",11789,1,2012-01-16,"China",63720,"GKV","2B350d4","2","B","350d4","Tracker"
"931",11790,1,2012-01-16,"Israel",25672,"GKV","7A002a+b","7","A","002a+b","Tracker"
"932",11791,1,2012-01-16,"Pakistan",1608000,"unbekannt","unbekannt","","","","Tracker"
"933",11793,1,2012-01-16,"Iran",10738,"unbekannt","unbekannt","","","","Tracker"
"934",11794,1,2012-01-16,"Hong Kong",202500,"GKV","3A001a2c","3","A","001a2c","Tracker"
"935",11795,1,2012-01-17,"Südafrika",13500,"GKV","6A003b4","6","A","003b4","Tracker"
"936",11796,1,2012-01-17,"Lettland",374873,"GKV","2B201a1|2B001b2","2","B","201a1","Tracker"
"937",11797,1,2012-01-17,"China",227347,"GKV","2B201a1","2","B","201a1","Tracker"
"938",11798,1,2012-01-17,"China",170318,"GKV","2B201a1","2","B","201a1","Tracker"
"939",11799,1,2012-01-17,"China",202775,"GKV","2B201a1","2","B","201a1","Tracker"
"940",11800,1,2012-01-17,"China",149463,"GKV","2B201a1","2","B","201a1","Tracker"
"941",11801,1,2012-01-17,"Weissrussland",385486,"GKV","2B201b1","2","B","201b1","Tracker"
"942",11802,1,2012-01-17,"Weissrussland",603045,"GKV","2B201b1","2","B","201b1","Tracker"
"943",11803,1,2012-01-17,"China",660000,"GKV","2B201b1","2","B","201b1","Tracker"
"944",11804,1,2012-01-17,"Katar",1200,"GKV","1","1","","","Tracker"
"945",11805,1,2012-01-17,"Indien",477,"5.1","5.1","1","","","Tracker"
"946",11805,2,2012-01-17,"Indien",169,"5.1","5.1","1","","","Tracker"
"947",11805,3,2012-01-17,"Indien",450,"5.1","5.1","1","","","Tracker"
"948",11806,1,2012-01-17,"Russland",100967,"GKV","2B001a","2","B","001a","Tracker"
"949",11806,2,2012-01-17,"Russland",246559,"GKV","2B001b","2","B","001b","Tracker"
